precinct,name,dem_total,rep_total,lat,lon,pct_black,pct_white,pct_hispanic,pct_asian,crockett_share,talarico_share,crockett_votes,talarico_votes
3106,A E Sims Cedar Hill Rec Center,798,147,32.588,-96.953,0.55,0.2,0.18,0.02,0.603,0.397,481,317
3408,Balch Springs Recreation Center,266,39,32.719,-96.625,0.35,0.1,0.5,0.02,0.51,0.49,136,130
3605,Disciple Central Comm Church,1637,76,32.667,-96.805,0.8,0.03,0.14,0.01,0.712,0.288,1166,471
3064,Friendship West Baptist Church,981,10,32.63,-96.853,0.85,0.03,0.08,0.01,0.736,0.264,722,259
3073,Highland Hills Library,331,4,32.67,-96.824,0.82,0.02,0.13,0.01,0.721,0.279,239,92
3043,Paul L Dunbar Library,500,8,32.751,-96.811,0.78,0.05,0.13,0.01,0.705,0.295,352,148
0023,For Oak Cliff,197,2,32.738,-96.836,0.6,0.04,0.32,0.01,0.623,0.377,123,74
4071,Oak Cliff Government Center,491,47,32.742,-96.854,0.45,0.06,0.44,0.02,0.555,0.445,273,218
0025,Kiest Recreation Center,261,24,32.71,-96.848,0.55,0.05,0.35,0.01,0.603,0.397,157,104
4064,Martin Weiss Recreation Center,346,43,32.721,-96.827,0.4,0.08,0.47,0.02,0.533,0.467,184,162
0029,MLK Jr Branch Library,464,18,32.754,-96.768,0.75,0.04,0.17,0.01,0.691,0.309,321,143
1088,Skyline Branch Library,504,43,32.726,-96.732,0.45,0.05,0.45,0.02,0.555,0.445,280,224
1096,Dallas College-Pleasant Grove,528,44,32.723,-96.695,0.4,0.06,0.48,0.02,0.534,0.466,282,246
4113,Dallas College-Mountain View,159,15,32.711,-96.886,0.5,0.05,0.4,0.02,0.578,0.422,92,67
4029,Dallas College-West Dallas Ctr,359,13,32.773,-96.864,0.3,0.05,0.6,0.02,0.487,0.512,175,184
0065,Frank Crowley Courts Building,277,21,32.769,-96.873,0.4,0.08,0.45,0.03,0.533,0.467,148,129
4086,Grauwyler Park Rec Center,267,62,32.803,-96.896,0.25,0.15,0.5,0.05,0.465,0.535,124,143
4081,Jaycee Zaragoza Rec Center,39,6,32.751,-96.853,0.1,0.05,0.8,0.02,0.397,0.603,16,23
0062,Singing Hills Rec Center,45,3,32.687,-96.76,0.65,0.03,0.28,0.01,0.646,0.354,29,16
0045,Oak Gardens Church,153,8,32.765,-96.755,0.55,0.05,0.35,0.02,0.6,0.4,92,61
4050,Mountain Creek Library,315,45,32.717,-96.938,0.35,0.12,0.45,0.04,0.509,0.491,160,155
3809,Lancaster Veterans Memorial Lib,736,53,32.592,-96.756,0.72,0.08,0.15,0.02,0.676,0.324,498,238
3202,Duncanville Library,1066,195,32.652,-96.908,0.55,0.18,0.2,0.03,0.601,0.399,640,426
0012,Glenn Heights Family Center,204,21,32.548,-96.856,0.6,0.12,0.22,0.02,0.624,0.376,127,77
3950,Hutchins City Hall,64,8,32.65,-96.713,0.5,0.1,0.35,0.02,0.578,0.422,37,27
3940,Wilmer Community Center,40,11,32.591,-96.685,0.4,0.15,0.38,0.02,0.536,0.464,21,19
1022,Oak Lawn Branch Library,1147,177,32.806,-96.818,0.1,0.55,0.22,0.06,0.4,0.601,458,689
0050,Dallas County Records Bldg,295,30,32.781,-96.798,0.35,0.15,0.42,0.04,0.509,0.491,150,145
1029,Dallas College-R Jan LeCroy Ctr,242,88,32.818,-96.839,0.2,0.3,0.38,0.06,0.443,0.557,107,135
0004,Elections Training / Warehouse,38,16,32.772,-96.868,0.25,0.2,0.45,0.05,0.465,0.535,18,20
0058,Envision Dallas,23,6,32.812,-96.78,0.2,0.35,0.3,0.08,0.443,0.557,10,13
0061,Esperanza Comm Ctr at Dobie,15,6,32.697,-96.87,0.2,0.08,0.65,0.03,0.443,0.557,7,8
1074,Samuell Grand Rec Center,620,103,32.791,-96.726,0.25,0.2,0.45,0.05,0.465,0.535,288,332
1116,Harry Stone Rec Center,270,70,32.809,-96.716,0.2,0.22,0.48,0.05,0.443,0.557,119,151
1052,Lochwood Branch Library,669,224,32.836,-96.68,0.15,0.35,0.35,0.08,0.42,0.58,281,388
1301,Florence Recreation Center,172,105,32.766,-96.7,0.18,0.25,0.48,0.04,0.434,0.566,75,97
1303,Dallas College-Eastfield,166,23,32.756,-96.661,0.3,0.1,0.52,0.03,0.489,0.511,81,85
0046,St Paul's Church,373,126,32.837,-96.765,0.2,0.3,0.35,0.08,0.443,0.557,165,208
0047,Hamilton Park UMC,133,28,32.887,-96.753,0.55,0.15,0.18,0.08,0.596,0.404,79,54
2220,University Park UMC,329,505,32.838,-96.798,0.02,0.78,0.08,0.06,0.362,0.638,119,210
2052,Fretz Park Library,810,497,32.903,-96.766,0.08,0.45,0.18,0.22,0.374,0.625,303,507
2005,Marsh Lane Baptist Church,597,318,32.89,-96.827,0.1,0.4,0.25,0.18,0.387,0.613,231,366
0038,Royal Lane Baptist Church,457,298,32.883,-96.798,0.12,0.42,0.22,0.16,0.4,0.6,183,274
0030,Northway Christian Church,278,266,32.877,-96.757,0.08,0.45,0.15,0.25,0.372,0.628,103,175
2060,Audelia Road Branch Library,541,296,32.912,-96.725,0.12,0.3,0.25,0.25,0.391,0.609,212,329
0041,Makkah Masjid IDEA,49,14,32.854,-96.78,0.15,0.3,0.25,0.22,0.408,0.593,20,29
0036,Addison Town Hall,212,137,32.958,-96.83,0.1,0.4,0.25,0.18,0.387,0.613,82,130
2307,Dallas College-Brookhaven,173,40,32.921,-96.783,0.2,0.25,0.35,0.12,0.44,0.56,76,97
2305,Farmers Branch Manske Library,230,148,32.929,-96.875,0.08,0.32,0.4,0.12,0.386,0.614,89,141
0021,Islamic Assoc of North TX,216,67,32.937,-96.734,0.12,0.28,0.22,0.3,0.386,0.614,83,133
0043,Ministerios Charisma,336,222,32.932,-96.724,0.1,0.3,0.3,0.22,0.385,0.615,129,207
0022,Vietnamese Community Center,95,150,32.854,-96.818,0.05,0.25,0.15,0.48,0.335,0.665,32,63
1708,Dallas College-Garland Center,499,391,32.91,-96.625,0.12,0.35,0.35,0.12,0.401,0.599,200,299
0024,North Garland Branch Library,370,192,32.946,-96.638,0.12,0.3,0.3,0.2,0.396,0.604,147,223
1723,South Garland Branch Library,640,316,32.865,-96.617,0.2,0.28,0.35,0.1,0.441,0.559,282,358
2927,Rowlett Community Centre,470,325,32.905,-96.56,0.12,0.48,0.22,0.1,0.406,0.594,191,279
2941,Sachse City Hall,170,188,32.978,-96.595,0.1,0.5,0.18,0.15,0.391,0.609,66,104
0049,Dallas County Mesquite Gov Ctr,688,293,32.75,-96.6,0.22,0.25,0.4,0.06,0.454,0.546,312,376
3500,Sunnyvale Town Hall,89,92,32.797,-96.561,0.08,0.6,0.2,0.05,0.392,0.608,35,54
3921,Seagoville City Hall,107,64,32.639,-96.536,0.15,0.35,0.42,0.03,0.422,0.578,45,62
4607,Irving City Hall,449,363,32.814,-96.949,0.12,0.25,0.35,0.2,0.396,0.604,178,271
4642,Irving Arts Center,142,111,32.853,-96.946,0.1,0.28,0.3,0.24,0.383,0.617,54,88
0057,Islamic Center of Irving,30,2,32.833,-96.985,0.15,0.15,0.4,0.22,0.407,0.593,12,18
4633,Dallas College-North Lake,158,43,32.857,-97.037,0.15,0.2,0.45,0.12,0.417,0.583,66,92
4502,Betty Warmack Library,497,148,32.696,-96.999,0.3,0.15,0.42,0.06,0.489,0.51,243,254
4528,Our Redeemer Lutheran-GP,179,74,32.708,-96.973,0.22,0.18,0.48,0.05,0.455,0.545,81,98
4516,Crosswinds High School,232,147,32.748,-96.967,0.18,0.22,0.42,0.1,0.433,0.567,100,132
4629,Bear Creek Community Church,109,30,32.771,-97.03,0.2,0.15,0.52,0.06,0.445,0.555,48,61
2805,Coppell Town Center,367,283,32.955,-97.015,0.06,0.42,0.12,0.32,0.357,0.643,131,236
2604,Valley Ranch Library,396,157,32.918,-96.968,0.15,0.22,0.28,0.28,0.4,0.6,158,238
2407,Josey Ranch Lake Library,427,248,32.965,-96.893,0.08,0.38,0.2,0.26,0.372,0.628,159,268
0042,Madinah Masjid of Carrollton,18,2,32.973,-96.895,0.08,0.3,0.22,0.32,0.366,0.634,7,11
0063,Pioneer Event Center,35,24,32.899,-96.952,0.1,0.3,0.32,0.2,0.387,0.613,14,21
3072,Dallas College-Cedar Valley,95,14,32.589,-96.867,0.55,0.12,0.28,0.02,0.6,0.4,57,38
